step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
373,112942.81,0.0,0.0,334167.12,447109.93,0
278,26911.1,559243.0,532331.9,0.0,0.0,0
178,60868.97,10483.0,0.0,567019.74,627888.71,0
16,167238.75,29595.0,196833.75,0.0,0.0,0
235,400.35,20712.0,20311.65,0.0,0.0,0
164,180713.12,3441354.89,3622068.01,785765.22,605052.1,0
227,293775.52,39814.0,333589.52,133264.8,0.0,0
576,1322277.84,1322277.84,0.0,0.0,1322277.84,1
403,6783.24,0.0,0.0,0.0,0.0,0
401,14019.04,0.0,0.0,0.0,0.0,0
162,7528.56,40416.0,32887.44,0.0,0.0,0
299,282304.86,14476.0,296780.86,2079573.74,1797268.88,0
255,1484.95,2462512.0,2463996.95,405798.71,404313.76,0
42,336629.45,31375.0,0.0,0.0,336629.45,0
594,133951.68,11160.0,0.0,532772.86,666724.55,0
466,104171.37,104171.37,0.0,0.0,0.0,1
436,539658.73,539658.73,0.0,0.0,539658.73,1
263,82390.5,0.0,0.0,297770.1,380160.6,0
301,357713.46,1775756.93,2133470.39,2015069.02,1657355.57,0
564,2472250.47,2472250.47,0.0,0.0,0.0,1
301,204136.69,10204.0,214340.69,40720.73,0.0,0
279,3419.5,36100.1,32680.6,0.0,0.0,0
166,684.65,70543.0,69858.35,0.0,0.0,0
374,324436.9,70497.0,394933.9,0.0,0.0,0
258,8380.52,0.0,0.0,0.0,0.0,0
300,373881.35,6116904.96,6490786.31,11297621.94,10923740.58,0
168,362.76,5097.0,4734.24,0.0,0.0,0
179,74134.23,10084.0,0.0,0.0,74134.23,0
22,4825.78,0.0,0.0,0.0,0.0,0
251,421140.11,5651070.15,6072210.26,1780866.75,1359726.65,0
185,217570.09,7856763.03,8074333.12,738261.52,520691.43,0
185,239906.42,0.0,0.0,3935210.18,4175116.6,0
18,13507.43,295964.31,282456.88,77520.77,91028.21,0
250,11436.94,12197.0,760.06,0.0,0.0,0
307,1400.5,0.0,0.0,0.0,0.0,0
178,79443.26,349588.89,270145.63,738739.49,818182.75,0
356,5738.12,11887.0,6148.88,0.0,0.0,0
345,94258.49,0.0,0.0,4978646.02,4751097.37,0
233,7813.44,192508.53,184695.09,0.0,0.0,0
370,24392.76,101610.64,77217.89,0.0,0.0,0
303,584650.53,9775587.65,10360238.18,782434.45,197783.92,0
331,569622.85,0.0,0.0,1593386.12,2163008.97,0
142,17352.25,25668.0,8315.75,0.0,0.0,0
350,672.76,0.0,0.0,0.0,0.0,0
